storage_key,dossier_uid,scrutin_id,fecha_scrutin,titulo_scrutin,jorf_text_id,title_matched,match_score,bytes,status
DLR5L15N42037,DLR5L15N42037,2815,2020-07-15,l'ensemble de la proposition de loi visant à encadrer le démarchage téléphonique et à lutter contre les appels frauduleux (texte de la commission mixte paritaire).,JORFTEXT000042148119,<mark>LOI</mark> n° 2020-901 du 24 juillet 2020 <mark>visant</mark> à <mark>encadrer</mark> le <mark>démarchage</mark> <mark>téléphonique</mark> et à <mark>lutter</mark> <mark>contre</mark> les <mark>appels</mark> <mark>frauduleux</mark> (1),1.19,15371,ok
DLR5L15N43090,DLR5L15N43090,2865,2020-09-16,l'ensemble de la proposition de loi relative au renforcement de l'inclusion dans l'emploi par l'activité économique et à l'expérimentation « territoire zéro chômeur de longue durée » (première lecture).,JORFTEXT000042665434,<mark>LOI</mark> n° 2020-1577 du 14 décembre 2020 <mark>relative</mark> au <mark>renforcement</mark> de <mark>l'inclusion</mark> dans <mark>l'emploi</mark> par <mark>l'activité</mark> <mark>économique</mark> et à <mark>l'expérimentation</mark> <mark>«</mark> <mark>territoire</mark> <mark>zéro</mark> <mark>chômeur</mark> de <mark>longue</mark> <mark>durée</mark> <mark>»</mark> (1),1.15,38177,ok
DLR5L15N45705,DLR5L15N45705,2881,2020-09-23,l'ensemble du projet de loi de programmation de la recherche pour les années 2021 à 2030 et portant diverses dispositions relatives à la recherche et à l'enseignement supérieur (première lecture).,JORFTEXT000042738027,<mark>LOI</mark> n° 2020-1674 du 24 décembre 2020 de <mark>programmation</mark> de la <mark>recherche</mark> pour les <mark>années</mark> <mark>2021</mark> à <mark>2030</mark> et <mark>portant</mark> <mark>diverses</mark> <mark>dispositions</mark> <mark>relatives</mark> à la <mark>recherche</mark> et à <mark>l'enseignement</mark> <mark>supérieur</mark> (1),1.15,304099,ok
DLR5L15N40525,DLR5L15N40525,2915,2020-10-01,l'ensemble du projet de loi prorogeant le régime transitoire institué à la sortie de l'état d'urgence sanitaire (première lecture).,,,0.00,0,low_score_or_no_match
DLR5L15N42947,DLR5L15N42947,2940,2020-10-06,l'ensemble du projet de loi relatif aux conditions de mise sur le marché de certains produits phytopharmaceutiques en cas de danger sanitaire pour les betteraves sucrières (première lecture).,JORFTEXT000037547946,,0.08,0,low_score_or_no_match
DLR5L15N44448,DLR5L15N44448,2952,2020-10-08,l'ensemble de la proposition de loi visant à renforcer le droit à l'avortement (première lecture).,JORFTEXT000045287560,<mark>LOI</mark> n° 2022-295 du 2 mars 2022 <mark>visant</mark> à <mark>renforcer</mark> le <mark>droit</mark> à <mark>l'avortement</mark> (1),1.05,3830,ok
DLR5L15N42948,DLR5L15N42948,3124,2020-11-06,l'ensemble du projet de loi portant diverses dispositions d'adaptation au droit de l'Union européenne en matière économique et financière (nouvelle lecture).,JORFTEXT000042607095,<mark>LOI</mark> n° 2020-1508 du 3 décembre 2020 <mark>portant</mark> <mark>diverses</mark> <mark>dispositions</mark> <mark>d'adaptation</mark> au <mark>droit</mark> de <mark>l'Union</mark> <mark>européenne</mark> en <mark>matière</mark> <mark>économique</mark> et <mark>financière</mark> (1),1.18,148910,ok
DLR5L15N40616,DLR5L15N40616,3188,2020-11-17,l'ensemble du projet de loi de programmation de la recherche pour les années 2021 à 2030 et portant diverses dispositions relatives à la recherche et à l'enseignement supérieur (texte de la commission mixte paritaire).,JORFTEXT000042738027,<mark>LOI</mark> n° 2020-1674 du 24 décembre 2020 de <mark>programmation</mark> de la <mark>recherche</mark> pour les <mark>années</mark> <mark>2021</mark> à <mark>2030</mark> et <mark>portant</mark> <mark>diverses</mark> <mark>dispositions</mark> <mark>relatives</mark> à la <mark>recherche</mark> et à <mark>l'enseignement</mark> <mark>supérieur</mark> (1),1.18,304099,ok
DLR5L15N41920,DLR5L15N41920,3254,2020-11-24,l'ensemble de la proposition de loi relative à la sécurité globale (première lecture).,JORFTEXT000043530276,<mark>LOI</mark> n° 2021-646 du 25 mai 2021 pour une <mark>sécurité</mark> <mark>globale</mark> préservant les libertés (1),0.77,115891,ok
DLR5L15N38217,DLR5L15N38217,3263,2020-11-26,l'ensemble de la proposition de loi visant à promouvoir la France des accents (première lecture).,JORFTEXT000042738027,,0.18,0,low_score_or_no_match
