scrutin_id,fecha,fecha_iso,sort,amendement_num,sous_amendement_num,es_sous_amendement,es_suppression,es_redaction_globale,es_identiques,demandeur,article_ref,ley_tipo,ley_titulo_corto,dossier_ref,titulo_scrutin
394,2018-02-14,2018-02-14,rejeté,129,129,1,0,0,0,,,projet de loi,relatif à l'élection des représentants au Parlement européen,,le sous-amendement n°129 de Mme Bru à l'amendement n° 128 du Gouvernement après l'article 2 du projet de loi relatif à l'élection des représentants au Parlement européen (première lecture).
3941,2021-07-22,2021-07-22,rejeté,698,,0,0,0,0,,,projet de loi,relatif à la gestion de la crise sanitaire,,l'amendement n° 698 de Mme Fiat après l'article 11 du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
3942,2021-07-22,2021-07-22,rejeté,349,,0,0,0,0,,,projet de loi,relatif à la gestion de la crise sanitaire,,l'amendement n° 349 de M. Ratenon après l'article 11 du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
3948,2021-07-25,2021-07-25,adopté,1,,0,0,0,0,,,projet de loi,relatif à la gestion de la crise sanitaire,,l'amendement n° 1 du Gouvernement au projet de loi relatif à la gestion de la crise sanitaire (texte de la commission mixte paritaire).
395,2018-02-14,2018-02-14,rejeté,132,132,1,0,0,0,,,projet de loi,relatif à l'élection des représentants au Parlement européen,,le sous-amendement n°132 de M. Bernalicis à l'amendement n° 128 du Gouvernement après l'article 2 du projet de loi relatif à l'élection des représentants au Parlement européen (première lecture).
3951,2021-09-07,2021-09-07,rejeté,1,,0,1,0,1,M. Ratenon et l'amendement identique suivant,unique,projet de loi,autorisant la prorogation de l'état d'urgence sanitaire dans les outre-mer,,l'amendement de suppression n° 1 de M. Ratenon et l'amendement identique suivant à l'article unique du projet de loi autorisant la prorogation de l'état d'urgence sanitaire dans les outre-mer (première lecture).
3952,2021-09-07,2021-09-07,rejeté,35,,0,0,0,0,Mme Bassire,unique,projet de loi,autorisant la prorogation de l'état d'urgence sanitaire dans les outre-mer,,l'amendement n° 35 de Mme Bassire à l'article unique du projet de loi autorisant la prorogation de l'état d'urgence sanitaire dans les outre-mer (première lecture).
3953,2021-09-07,2021-09-07,rejeté,28,,0,0,0,0,,,projet de loi,autorisant la prorogation de l'état d'urgence sanitaire dans les outre-mer,,l'amendement n° 28 de Mme Panot après l'article unique du projet de loi autorisant la prorogation de l'état d'urgence sanitaire dans les outre-mer (première lecture).
3954,2021-09-07,2021-09-07,rejeté,29,,0,0,0,0,,,projet de loi,autorisant la prorogation de l'état d'urgence sanitaire dans les outre-mer,,l'amendement n° 29 de Mme Panot après l'article unique du projet de loi autorisant la prorogation de l'état d'urgence sanitaire dans les outre-mer (première lecture).
3955,2021-09-07,2021-09-07,rejeté,11,,0,0,0,0,,,projet de loi,autorisant la prorogation de l'état d'urgence sanitaire dans les outre-mer,,l'amendement n° 11 de M. Ratenon après l'article unique du projet de loi autorisant la prorogation de l'état d'urgence sanitaire dans les outre-mer (première lecture).
3958,2021-09-22,2021-09-22,adopté,378,,0,0,0,1,Mme Brocard et les amendements identiques suivants,2,projet de loi,relatif à la responsabilité pénale et à la sécurité intérieure,,l'amendement n° 378 de Mme Brocard et les amendements identiques suivants à l'article 2 du projet de loi relatif à la responsabilité pénale et à la sécurité intérieure (première lecture).
3959,2021-09-22,2021-09-22,adopté,377,,0,0,0,1,Mme Brocard et l'amendement identique suivant,2,projet de loi,relatif à la responsabilité pénale et à la sécurité intérieure,,l'amendement n° 377 de Mme Brocard et l'amendement identique suivant à l'article 2 du projet de loi relatif à la responsabilité pénale et à la sécurité intérieure (première lecture).
396,2018-02-14,2018-02-14,rejeté,130,130,1,0,0,0,,,projet de loi,relatif à l'élection des représentants au Parlement européen,,le sous-amendement n°130 de M. Bernalicis à l'amendement n° 128 du Gouvernement après l'article 2 du projet de loi relatif à l'élection des représentants au Parlement européen (première lecture).
3961,2021-09-22,2021-09-22,adopté,19,,0,0,0,1,Mme Ménard et les amendements identiques suivants,4,projet de loi,relatif à la responsabilité pénale et à la sécurité intérieure,,l'amendement n° 19 de Mme Ménard et les amendements identiques suivants à l'article 4 du projet de loi relatif à la responsabilité pénale et à la sécurité intérieure (première lecture).
3963,2021-09-22,2021-09-22,rejeté,152,,0,0,0,0,,,projet de loi,relatif à la responsabilité pénale et à la sécurité intérieure,,l'amendement n° 152 de M. Savignat après l'article 4 du projet de loi relatif à la responsabilité pénale et à la sécurité intérieure (première lecture).
3967,2021-09-23,2021-09-23,rejeté,319,,0,0,0,0,Mme El Aaraje,18,projet de loi,relatif à la responsabilité pénale et à la sécurité intérieure,,l'amendement n° 319 de Mme El Aaraje à l'article 18 du projet de loi relatif à la responsabilité pénale et à la sécurité intérieure (première lecture).
397,2018-02-14,2018-02-14,rejeté,133,133,1,0,0,0,,,projet de loi,relatif à l'élection des représentants au Parlement européen,,le sous-amendement n°133 de Mme Obono à l'amendement n° 128 du Gouvernement après l'article 2 du projet de loi relatif à l'élection des représentants au Parlement européen (première lecture).
3974,2021-09-29,2021-09-29,rejeté,2,,0,0,0,0,Mme Victory,premier,proposition de loi,créant la fonction de directrice ou de directeur d'école,,l'amendement n° 2 de Mme Victory à l'article premier de la proposition de loi créant la fonction de directrice ou de directeur d'école (deuxième lecture).
3975,2021-09-29,2021-09-29,rejeté,3,,0,0,0,1,Mme Victory et les amendements identiques suivants,premier,proposition de loi,créant la fonction de directrice ou de directeur d'école,,l'amendement n° 3 de Mme Victory et les amendements identiques suivants à l'article premier de la proposition de loi créant la fonction de directrice ou de directeur d'école (deuxième lecture).
3976,2021-09-29,2021-09-29,rejeté,4,,0,0,0,0,Mme Victory,premier,proposition de loi,créant la fonction de directrice ou de directeur d'école,,l'amendement n° 4 de Mme Victory à l'article premier de la proposition de loi créant la fonction de directrice ou de directeur d'école (deuxième lecture).
398,2018-02-14,2018-02-14,adopté,128,,0,0,0,0,,,projet de loi,relatif à l'élection des représentants au Parlement européen,,l'amendement n° 128 du Gouvernement après l'article 2 du projet de loi relatif à l'élection des représentants au Parlement européen (première lecture).
3980,2021-10-06,2021-10-06,rejeté,42,,0,0,0,0,M. Molac,premier,proposition de loi,relative aux bibliothèques et au développement de la lecture publique,,l'amendement n° 42 de M. Molac à l'article premier de la proposition de loi relative aux bibliothèques et au développement de la lecture publique (première lecture).
3984,2021-10-07,2021-10-07,adopté,12,,0,1,0,0,Mme Cloarec-Le Nabour,premier,proposition de loi,visant à plus de justice et d'autonomie en faveur des personnes en situation de handicap,,l'amendement de suppression n° 12 de Mme Cloarec-Le Nabour à l'article premier de la proposition de loi visant à plus de justice et d'autonomie en faveur des personnes en situation de handicap (première lecture).
3985,2021-10-07,2021-10-07,adopté,13,,0,1,0,0,Mme Cloarec-Le Nabour,2,proposition de loi,visant à plus de justice et d'autonomie en faveur des personnes en situation de handicap,,l'amendement de suppression n° 13 de Mme Cloarec-Le Nabour à l'article 2 de la proposition de loi visant à plus de justice et d'autonomie en faveur des personnes en situation de handicap (première lecture).
