tweet_id,timestamp,text,author_handle,mentioned_handles,deputy_id,full_name,twitter_name,twitter_web_urls,political_group_abbrev,political_group
2015516947144704061,Sun Jan 25 20:07:41 +0000 2026,"RT @NoaMagid: ALI RAHBAR WAS EXECUTED

An athlete and fitness coach, 33, from Mashhad. Executed after just 10 days in detention - no trial,…",flprovendier,noamagid,722194,Florence Provendier,flprovendier,twitter.com/flprovendier,LAREM,La République en Marche
2015149917811921059,Sat Jan 24 19:49:14 +0000 2026,"RT @pybournazel: Vous avez voté le 30 juin 2015 pour le projet de Tour Triangle, main dans la main avec Anne Hidalgo. Et maintenant parce q…",flprovendier,pybournazel,722194,Florence Provendier,flprovendier,twitter.com/flprovendier,LAREM,La République en Marche
2015148818484867581,Sat Jan 24 19:44:52 +0000 2026,"RT @CarolineFourest: SYRIE. « Nos alliés, nos amis meurent. Et nous regardons ailleurs » https://t.co/ggcIdS6EuD via @KurdistanAu",flprovendier,carolinefourest; kurdistanau,722194,Florence Provendier,flprovendier,twitter.com/flprovendier,LAREM,La République en Marche
2015130587816747095,Sat Jan 24 18:32:26 +0000 2026,"RT @shayan_: I’m devastated. A good friend and dormmate of mine, Amin Pourfarhang, has been sentenced to death after protesting in Iran 😭 H…",flprovendier,shayan_,722194,Florence Provendier,flprovendier,twitter.com/flprovendier,LAREM,La République en Marche
2014802343468904584,Fri Jan 23 20:48:06 +0000 2026,"RT @ANZHELA_YAN: I don’t know if my words can save anyone, but I know silence kills — it killed my own people. As a woman, as a human, I re…",flprovendier,anzhela_yan,722194,Florence Provendier,flprovendier,twitter.com/flprovendier,LAREM,La République en Marche
2014676274300493851,Fri Jan 23 12:27:09 +0000 2026,"RT @Limportant_fr: Afghanistan. Khadija, une entraîneuse de taekwondo, arrêtée pour avoir enseigné clandestinement le sport à des filles, r…",flprovendier,limportant_fr,722194,Florence Provendier,flprovendier,twitter.com/flprovendier,LAREM,La République en Marche
2014220594737189132,Thu Jan 22 06:16:26 +0000 2026,RT @femmeazadi: Sanam devait donner un concert ce soir là … elle a été abattue dans la rue par les terroristes de Khamenei. Une balle dans…,flprovendier,femmeazadi,722194,Florence Provendier,flprovendier,twitter.com/flprovendier,LAREM,La République en Marche
2013720516159279481,Tue Jan 20 21:09:18 +0000 2026,"RT @LouFrance75: 🚨🚨Des milliers de Kurdes du nord du Kurdistan franchissent les barrières et les frontières imposées, se dirigeant vers le…",flprovendier,loufrance75,722194,Florence Provendier,flprovendier,twitter.com/flprovendier,LAREM,La République en Marche
2013720114634351003,Tue Jan 20 21:07:43 +0000 2026,"RT @ogamashiyo: 7 ans de prison pour avoir fait son métier. Christophe Gleizes, journaliste sportif, croupit dans une geôle algérienne pend…",flprovendier,ogamashiyo,722194,Florence Provendier,flprovendier,twitter.com/flprovendier,LAREM,La République en Marche
2012180431106437394,Fri Jan 16 15:09:33 +0000 2026,"RT @GeWoessner: En France, de nombreux médias ont fait le choix éditorial d'adopter le comptage de l'ONG Iran Human Rights, basée en Norvèg…",flprovendier,gewoessner,722194,Florence Provendier,flprovendier,twitter.com/flprovendier,LAREM,La République en Marche
